NRC,ST,DEPARTAMENTO,AREA,CLAVE,MATERIA,HRS_TEORIA,HRS_LAB,SECC,CRED,CUPO,OCUP,DISP,INI,FIN,L,M,I,J,V,S,EDIF,AULA,PROFESOR,FECHA INICIO,FECHA FIN,NIVEL

50014,A,DEPTO. DE INGENIERIA INDUSTRIAL                   ,INDU,ID221,ABASTECIMIENTOS E INVENTARIOS,80,0,D03,11,30,12,18,900,1055,,M,,J,,,DEDQ,A001,"PONCE DUE�AS, NESTOR RAFAEL  (9111841)",15/08/2016,13/12/2016,LI
50016,A,DEPTO. DE INGENIERIA INDUSTRIAL                   ,INDU,ID221,ABASTECIMIENTOS E INVENTARIOS,80,0,D04,11,30,10,20,1900,2055,,M,,J,,,DEDQ,A017,"GUZMAN CUELLAR, CLAUDIA VERONIC  (1311019)",15/08/2016,13/12/2016,LI
121218,A,DEPTO. DE ELECTRONICA                             ,INTE,I7607,ACONDICIONAMIENTO DE BIOSE�ALES Y BIOIMAGENES,51,17,D01,8,40,38,2,1100,1255,,M,,J,,,DEDR,A003,"ROMO VAZQUEZ, REBECA DEL CARM  (1947107)",15/08/2016,13/12/2016,LI
121219,A,DEPTO. DE ELECTRONICA                             ,INTE,I7607,ACONDICIONAMIENTO DE BIOSE�ALES Y BIOIMAGENES,51,17,D02,8,40,38,2,1300,1455,L,,I,,,,DEDT,A022,"VELEZ PEREZ, HUGO ABRAHAM  (1947865)",15/08/2016,13/12/2016,LI
114976,A,DEPTO. DE FISICA                                  ,INTE,I6042,ACTIVIDADES DE FORMACION INTEGRAL,0,240,D01,16,30,8,22,,,,,,,,,,,"FRANCO HERNANDEZ, RAMIRO  (9816191)",,,LI
43583,A,DEPTO. DE INGENIERIA INDUSTRIAL                   ,INTE,I7370,ADMINISTRACION,51,0,D01,7,38,37,1,1700,1855,,M,,,,,DEDQ,A017,"HUERTA OROZCO, ROBERTO  (1511610)",15/08/2016,13/12/2016,LI
43583,A,DEPTO. DE INGENIERIA INDUSTRIAL                   ,INTE,I7370,ADMINISTRACION,51,0,D01,7,38,37,1,1800,1855,,,,J,,,DEDQ,A017,"HUERTA OROZCO, ROBERTO  (1511610)",15/08/2016,13/12/2016,LI
43589,A,DEPTO. DE INGENIERIA INDUSTRIAL                   ,INTE,I7370,ADMINISTRACION,51,0,D03,7,40,39,1,900,1055,,M,,,,,DEDQ,A019,"MONTES GONZALEZ, ROBERTO  (1416991)",15/08/2016,13/12/2016,LI
43589,A,DEPTO. DE INGENIERIA INDUSTRIAL                   ,INTE,I7370,ADMINISTRACION,51,0,D03,7,40,39,1,900,955,,,,J,,,DEDQ,A019,"MONTES GONZALEZ, ROBERTO  (1416991)",15/08/2016,13/12/2016,LI
